date,fcr
2026-02-01,69
2026-02-02,64
2026-02-03,65
2026-02-04,66
2026-02-05,64
2026-02-06,65
2026-02-07,68
2026-02-08,64
2026-02-09,61
2026-02-10,57
2026-02-11,58
2026-02-12,63
2026-02-13,66
2026-02-14,64
2026-02-15,66
2026-02-16,64
2026-02-17,62
2026-02-18,62
2026-02-19,61
2026-02-20,58
2026-02-21,60
2026-02-22,60
2026-02-23,61
2026-02-24,58
2026-02-25,58
2026-02-26,59
2026-02-27,59
2026-02-28,60
2026-03-01,63
2026-03-02,60
2026-03-03,59
2026-03-04,60
2026-03-05,63
2026-03-06,64
2026-03-07,60
2026-03-08,59
2026-03-09,59
2026-03-10,65
2026-03-11,61
2026-03-12,61
2026-03-13,62
2026-03-14,61
2026-03-15,62
2026-03-16,58
2026-03-17,58
2026-03-18,56
2026-03-19,59
2026-03-20,60
2026-03-21,58
2026-03-22,59
2026-03-23,57
2026-03-24,54
2026-03-25,62
2026-03-26,61
2026-03-27,58
2026-03-28,61
2026-03-29,62
2026-03-30,59
2026-03-31,59
2026-04-01,64
2026-04-02,64
2026-04-03,59
2026-04-04,59
2026-04-05,63
2026-04-06,62
2026-04-07,59
2026-04-08,59
2026-04-09,61
2026-04-10,62
2026-04-11,61
2026-04-12,65
2026-04-13,62
2026-04-14,62
2026-04-15,60
2026-04-16,60
2026-04-17,58
2026-04-18,58
2026-04-19,59
2026-04-20,59
2026-04-21,60
2026-04-22,60
2026-04-23,58
2026-04-24,59
2026-04-25,64
2026-04-26,61
2026-04-27,64
2026-04-28,59
2026-04-29,60
2026-04-30,62
2026-05-01,60
2026-05-02,60
2026-05-03,59
2026-05-04,57
2026-05-05,60
2026-05-06,62
2026-05-07,58
2026-05-08,57
2026-05-09,61
2026-05-10,63
